,1em5,1.5em5,2em5,2.5em5,3em5,3.5em5,4em5,4.5em5,5em5
164,41,127,327,664,1163,1833,2679,3931,5158
165,60,131,304,655,1044,1821,2677,3853,5177
166,33,142,356,627,1195,1748,2670,3888,5367
167,58,133,349,684,1157,1726,2649,3833,5335
168,40,155,345,672,1164,1738,2725,3895,5218
169,32,140,362,661,1140,1754,2729,3758,5166
170,47,158,336,694,1137,1722,2672,3790,5274
171,51,137,380,671,1110,1852,2575,3829,5211
172,43,127,290,705,1065,1778,2706,3743,5124
173,38,134,315,647,1140,1763,2689,3918,5231
174,42,142,337,652,1154,1798,2652,3814,5295
175,40,125,349,685,1097,1792,2675,3824,5300
176,38,149,359,664,1083,1756,2716,3822,5303
177,39,129,324,654,1076,1853,2716,3837,5155
178,29,142,349,710,1044,1766,2694,3873,5190
179,48,143,312,656,1092,1858,2640,3845,5256
180,42,134,307,633,1105,1818,2709,3847,5376
181,36,152,311,620,1100,1830,2628,3917,5200
182,42,148,346,658,1142,1797,2721,3729,5275
183,41,165,331,700,1194,1807,2766,3904,5298
184,37,131,373,618,1153,1818,2587,3787,5277
185,42,135,365,628,1073,1778,2773,3861,5242
186,50,118,373,691,1135,1793,2728,3849,5316
187,43,153,368,665,1169,1725,2712,3850,5291
188,45,139,335,628,1172,1712,2726,3715,5173
189,44,151,316,648,1174,1807,2678,3801,5243
190,40,138,326,671,1174,1796,2636,3801,5215
191,52,129,319,691,1100,1802,2679,3810,5151
192,44,138,348,630,1058,1798,2676,3792,5354
193,37,141,350,657,1092,1794,2678,3790,5302
194,46,133,332,690,1115,1787,2696,3787,5199
195,40,162,306,693,1099,1764,2661,3773,5238
196,43,158,326,691,1132,1875,2638,3866,5239
197,45,130,321,620,1092,1787,2732,3842,5315
198,48,137,328,676,1155,1856,2700,3932,5204
199,47,164,338,673,1186,1798,2661,3898,5314
200,33,131,359,684,1119,1755,2670,3823,5219
201,37,149,334,649,1146,1866,2615,3813,5204
202,40,149,338,624,1163,1808,2657,3838,5287
203,38,126,322,650,1120,1754,2773,3691,5232
204,37,157,340,656,1098,1785,2711,3732,5287
205,41,127,336,601,1173,1749,2735,3881,5251
206,38,131,347,673,1139,1814,2711,3844,5299
207,53,144,343,692,1130,1777,2752,3898,5227
208,37,143,350,619,1081,1704,2568,3813,5089
209,46,133,332,646,1112,1791,2720,3890,5223
210,47,126,333,680,1147,1876,2614,3937,5275
211,38,150,323,662,1124,1795,2771,3819,5336
212,38,142,324,710,1121,1834,2766,3814,5167
213,38,131,371,622,1113,1779,2736,3860,5242
214,45,131,336,663,1090,1783,2737,3951,5282
215,47,160,313,666,1121,1767,2670,3829,5332
216,34,151,349,662,1134,1811,2661,3748,5212
217,48,139,319,663,1139,1777,2694,3823,5326
218,58,141,325,619,1148,1705,2691,3810,5240
219,28,129,333,664,1139,1801,2619,3778,5143
220,48,147,357,691,1141,1919,2707,3797,5246
221,51,137,315,657,1146,1818,2688,3930,5164
222,46,134,347,623,1130,1771,2648,3769,5160
223,45,151,335,659,1203,1801,2740,3799,5230
224,36,145,319,642,1111,1788,2639,3783,5256
225,56,144,318,665,1150,1717,2691,3806,5184
226,37,137,325,645,1133,1749,2665,3920,5237
227,39,163,364,619,1133,1817,2616,3803,5312
228,42,148,330,641,1101,1771,2694,3775,5104
229,44,125,314,639,1154,1780,2690,3816,5129
230,37,129,334,676,1110,1794,2676,3769,5368
231,46,147,341,697,1119,1736,2739,3889,5200
232,51,154,335,641,1182,1796,2695,3941,5240
233,48,114,350,608,1128,1841,2692,3784,5303
234,41,134,326,686,1183,1784,2721,3880,5158
235,40,138,367,642,1188,1850,2694,3924,5278
236,49,131,308,650,1136,1753,2635,3707,5172
237,49,147,358,620,1158,1786,2734,3685,5242
238,42,126,337,701,1171,1794,2650,3841,5173
239,50,138,355,661,1184,1841,2634,3861,5351
240,47,155,339,693,1180,1829,2696,3897,5141
241,43,171,335,680,1108,1854,2742,3781,5361
242,34,133,331,647,1094,1782,2674,3694,5281
243,52,144,315,636,1151,1768,2622,3688,5345
244,41,140,335,673,1152,1785,2799,3870,5277
245,36,117,372,688,1124,1776,2663,3794,5249
246,46,142,325,648,1124,1830,2575,3871,5302
247,41,137,345,627,1062,1779,2684,3835,5275
248,53,161,355,623,1171,1802,2845,3761,5288
249,43,159,332,651,1140,1696,2613,3718,5222
250,34,143,328,623,1142,1807,2613,3745,5145
251,43,153,368,636,1230,1765,2617,3852,5231
252,46,115,356,576,1167,1820,2643,3987,5265
253,48,135,336,632,1151,1866,2753,3750,5363
254,23,142,297,631,1131,1780,2707,3799,5330
255,47,133,344,637,1034,1882,2621,3779,5227
256,51,143,332,646,1119,1814,2710,3770,5213
257,44,144,354,665,1159,1864,2603,3866,5258
258,50,162,345,625,1147,1786,2667,3781,5434
259,49,132,340,660,1065,1840,2625,3721,5329
260,54,141,316,633,1143,1825,2774,3744,5303
261,46,158,340,661,1120,1839,2603,3793,5184
262,45,134,315,638,1135,1752,2650,3823,5114
263,51,160,314,614,1133,1767,2728,3842,5314
264,35,140,318,677,1166,1759,2619,3876,5343
265,42,137,388,649,1144,1830,2683,3810,5140
266,45,148,339,707,1132,1803,2710,3785,5215
267,39,158,298,654,1092,1873,2723,3956,5217
268,43,138,357,619,1116,1787,2611,3877,5193
269,40,123,320,692,1132,1813,2728,3822,5235
270,46,149,319,680,1123,1749,2770,3801,5372
271,42,148,346,662,1158,1732,2706,3888,5246
272,43,147,345,695,1169,1847,2691,3799,5184
273,27,162,349,640,1118,1811,2677,4042,5308
